City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
253,Hamilton,US,39.1834,-84.5333,51.06,94,100,4.0,overcast clouds
254,Lahuachaca,BO,-17.3667,-67.6667,45.45,63,17,2.57,few clouds
255,Charlotte,US,35.2271,-80.8431,53.85,94,100,1.01,heavy intensity rain
256,Key West,US,24.5557,-81.7826,86.0,75,40,11.5,scattered clouds
257,Olafsvik,IS,64.8945,-23.7142,39.65,79,97,20.29,overcast clouds
258,Port Hedland,AU,-20.3167,118.5667,80.65,78,6,12.66,clear sky
259,Dharchula,IN,29.85,80.5333,58.62,58,52,3.71,broken clouds
260,Bud,US,39.447,-86.1758,53.55,96,100,12.71,overcast clouds
261,Tunggol,PH,5.8446,121.1544,81.55,76,65,0.54,broken clouds
262,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.47,98,100,16.2,snow
263,Jurado,CO,7.1053,-77.7641,74.46,95,100,0.81,heavy intensity rain
264,Katherine,AU,-14.4667,132.2667,75.52,100,85,4.61,light intensity shower rain
265,Male,MV,4.1748,73.5089,81.41,70,86,4.9,overcast clouds
266,Bichura,RU,50.5881,107.6022,-6.03,78,100,8.88,overcast clouds
267,Sorland,NO,67.667,12.6934,44.46,73,96,16.64,overcast clouds
268,Manokwari,ID,-0.8667,134.0833,80.51,81,87,4.79,overcast clouds
269,Caravelas,BR,-17.7125,-39.2481,78.17,87,100,5.61,light rain
270,Tisul,RU,55.7611,88.3122,-7.4,81,100,11.74,overcast clouds
271,Sovetskiy,RU,61.3614,63.5842,-1.26,94,14,5.73,few clouds
272,Silale,LT,55.4906,22.1814,32.2,94,96,1.9,overcast clouds
273,Preobrazheniye,RU,42.9019,133.9064,30.87,53,68,7.87,broken clouds
274,Floriano,BR,-6.7669,-43.0225,81.34,70,98,1.61,overcast clouds
275,Green Valley,US,31.8543,-110.9937,50.25,38,14,2.37,few clouds
276,Dikson,RU,73.5069,80.5464,18.54,94,100,3.11,overcast clouds
277,Comodoro Rivadavia,AR,-45.8667,-67.5,63.25,49,61,9.75,broken clouds
278,Taoudenni,ML,22.6783,-3.9836,82.65,20,78,19.57,broken clouds
279,Tukrah,LY,32.5341,20.5791,61.9,73,100,22.46,light rain
280,Caxito,AO,-8.5785,13.6643,79.48,77,100,5.23,light rain
281,Klaksvik,FO,62.2266,-6.589,45.52,83,95,43.8,overcast clouds
282,Salalah,OM,17.0151,54.0924,81.0,56,2,5.86,clear sky
283,Erdenet,MN,49.0333,104.0833,-10.39,85,100,10.85,overcast clouds
284,Sola,VU,-13.8833,167.55,82.81,71,68,11.36,broken clouds
285,Avarua,CK,-21.2078,-159.775,73.45,78,75,8.05,broken clouds
286,Abu Samrah,SY,35.3029,37.1841,59.02,53,100,12.59,overcast clouds
287,Ancud,CL,-41.8697,-73.8203,59.14,51,37,2.33,scattered clouds
288,Sinnamary,GF,5.3833,-52.95,80.89,80,97,12.24,overcast clouds
289,Naushahro Firoz,PK,26.8424,68.123,80.85,19,0,2.26,clear sky
290,Tiznit,MA,29.5833,-9.5,79.29,16,0,4.63,clear sky
291,Vestmanna,FO,62.1564,-7.1664,43.72,93,100,12.66,light rain
292,Esperance,AU,-33.8667,121.9,58.23,64,66,9.15,broken clouds
293,Dudinka,RU,69.4058,86.1778,-4.5,97,100,14.74,overcast clouds
294,Kouqian,CN,43.6391,126.4578,28.42,92,100,3.4,overcast clouds
295,Ozernovskiy,RU,51.5,156.5167,36.03,76,100,13.53,light rain
296,Korcula,HR,42.9622,17.1369,55.58,51,30,7.34,scattered clouds
297,Llangefni,GB,53.2556,-4.3106,53.73,81,20,21.85,mist
298,Yantal,RU,56.8471,105.2542,-11.15,93,100,7.83,overcast clouds
299,Ekhabi,RU,53.5102,142.9671,20.43,69,97,20.07,overcast clouds
300,Mannarakkat,IN,10.9833,76.4667,76.71,90,97,3.22,overcast clouds
301,Beloha,MG,-25.1667,45.05,81.3,61,45,14.34,light rain
302,Quatre Cocos,MU,-20.2078,57.7625,81.09,60,0,11.32,clear sky
